state_name,received_message,timestamp,voltage,ambientTemperature,ambientPressure,pressureAlt,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ,estAngularRateX,estAngularRateY,estAngularRateZ,magneticFieldX,magneticFieldY,magneticFieldZ,estOrientQuaternionW,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,gpsLatitude,gpsLongitude,gpsAltitude,current_altitude,vertical_velocity,vertical_acceleration,maximum_altitude,pitch,roll,yaw,maximum_velocity,landing_velocity,crew_survivability
S,No Message Received,180523.0,0.0,14.82106781,1029.18554688,-131.8374939,0.0703125,-9.5625,0.49609375,0.0,0.0,0.0,-22.875,-47.125,9.75,0.3961792,0.42071533,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.30386353,0.0,9.57544579,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180543.0,0.0,14.82106781,1029.18554688,-131.8374939,0.0703125,-9.5625,0.49609375,0.0,0.0,0.0,-22.875,-47.125,9.75,0.3961792,0.42071533,-0.58770752,-0.56622314,35.17578125,-76.82828522,-7.96199989,-0.30386353,0.0,9.57544579,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180573.0,0.0,14.82106781,1029.18554688,-131.8374939,0.109375,-9.56640625,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.3961792,0.42071533,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.30386353,0.0,9.57606629,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180594.0,0.0,14.82106781,1029.18554688,-131.8374939,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.3961792,0.42071533,-0.58770752,-0.56622314,35.17578125,-76.82828522,-7.98000002,-0.30386353,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180623.0,0.0,14.82106781,1029.18310547,-131.81764221,0.109375,-9.5234375,0.45703125,0.0,0.0,0.0,-22.875,-47.125,9.75,0.3961792,0.42071533,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.28401184,0.0,9.53502393,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180643.0,0.0,14.82106781,1029.18310547,-131.81764221,0.0703125,-9.52734375,0.45703125,0.0,0.0,0.0,-22.875,-47.125,9.75,0.3961792,0.42071533,-0.58770752,-0.56622314,35.17578125,-76.82828522,-7.97300005,-0.28401184,0.0,9.53845867,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180673.0,0.0,14.82106781,1029.18310547,-131.81764221,0.14453125,-9.56640625,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.42071533,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.28401184,0.0,9.57648635,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180693.0,0.0,14.82106781,1029.18310547,-131.81764221,0.0703125,-9.6015625,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.4206543,-0.58770752,-0.56622314,35.17578125,-76.82828522,-7.96299982,-0.28401184,0.0,9.61071282,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180723.0,0.0,14.82535553,1029.18347168,-131.82061768,0.14453125,-9.56640625,0.37890625,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.4206543,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.2869873,0.0,9.5746125,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180752.0,0.0,14.82535553,1029.18347168,-131.82061768,0.0703125,-9.5625,0.37890625,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.4206543,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.2869873,0.0,9.56982423,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
